"Id","Name","ISIN","Sector","Market cap group","Sedol","Geography iso","Geography","Headquarters geography iso","Headquarters geography","Latest information","Company comments internal","CA100","Active","Visibility status"
"1170","Rio Tinto (Aluminium)","AU000000RIO1","Aluminium","large","6220103","AUS","Australia","AUS","Australia","Since the Management Quality cut-off date for the company's latest assessment the company has published new information which will be researched and reviewed in the future: https://www.riotinto.com/sustainability/climate-change","","true","true","published"
"1358","Rio Tinto (Diversified mining)","AU000000RIO1","Diversified Mining","large","6220103","AUS","Australia","AUS","Australia","Since the Management Quality cut-off date for the company's latest assessment the company has published new information which will be researched and reviewed in the future: https://www.riotinto.com/sustainability/climate-change","","true","true","published"
"1175","SAIC motor","CNE000000TY6","Autos","large","BP3R2D9","CHN","China","CHN","China","","","true","true","published"
"1224","Santos","AU000000STO6","Oil & Gas","large","6776703","AUS","Australia","AUS","Australia","","","true","true","published"
"1197","Shandong Chenming","CNE100000BK2","Paper","medium","6801832","CHN","China","CHN","China","","","false","true","published"
"1473","Shin-Etsu Chemical","JP3371200001","Chemicals","large","6804585","JPN","Japan","JPN","Japan","","","false","true","published"
"1189","South32 (Aluminium)","AU000000S320","Aluminium","large","BWSW5D9","AUS","Australia","AUS","Australia","Note this company is also assessed under the Coal Mining sector. When a company is assessed under two sectors, the Management Quality Assessment is identical, but Carbon Performance Assessments will differ, where those are available.","","true","true","published"
"1360","South32 (Coal Mining)","AU000000S320","Coal Mining","large","BWSW5D9","AUS","Australia","AUS","Australia","Note this company is also assessed under the Aluminium sector. When a company is assessed under two sectors, the Management Quality Assessment is identical, but it is also assessed for Carbon Performance of its aluminium operations.","","true","true","published"
"1514","South32 (Diversified mining)","AU000000S320","Diversified Mining","large","BWSW5D9","AUS","Australia","AUS","Australia","","","true","true","published"
"1087","Subaru","JP3814800003, JP3399750003","Autos","large","6356406","JPN","Japan","JPN","Japan","","","false","true","published"
"1531","Sumitomo Corp","JP3404600003","Coal Mining","large","6858946","JPN","Japan","JPN","Japan","","","false","true","published"
"1198","Sumitomo Osaka Cement","JP3400900001","Cement","medium","6858548","JPN","Japan","JPN","Japan","","","false","true","published"
"1090","Suzuki","JP3397200001, JP3397210000","Autos","large","6865504","JPN","Japan","JPN","Japan","","","true","true","published"
"1202","Taiheiyo Cement","JP3449020001","Cement","medium","6660204","JPN","Japan","JPN","Japan","","","false","true","published"
"1209","Tenaris","LU0156801721","Steel","large","7538515","ITA","Italy","ITA","Italy","","","false","true","published"
"1301","TEPCO","JP3585800000","Electricity Utilities","large","6895404","JPN","Japan","JPN","Japan","","","false","true","published"
"1302","Terna","IT0003242622","Electricity Utilities","medium","B01BN57","ITA","Italy","ITA","Italy","","","false","true","published"
"1304","Tohoku Elec Power","JP3605400005","Electricity Utilities","large","6895266","JPN","Japan","JPN","Japan","","","false","true","published"
"1042","Toray Industries","JP3621000003","Chemicals","large","6897143","JPN","Japan","JPN","Japan","Note this company is now classified as belonging to the Chemicals sector; it was previously classified as belonging to 'Other Basic Materials' sector.","","true","true","published"
"1097","Toyota","JP3633400001","Autos","large","6900643","JPN","Japan","JPN","Japan","","","true","true","published"
"1292","UACJ","JP3826900007","Aluminium","small","B0N9WZ2","JPN","Japan","JPN","Japan","","","false","true","published"
"1230","Voestalpine","AT0000937503","Steel","medium","4943402","AUT","Austria","AUT","Austria","","","false","true","published"
"1234","Washington H. Soul Pattinson","AU000000SOL3","Coal Mining","medium","6821807","AUS","Australia","AUS","Australia","","","false","true","published"
"1114","Wesfarmers","AU000000WES1","Services","large","6948836","AUS","Australia","AUS","Australia","","","false","true","published"
"1238","Whitehaven Coal","AU000000WHC8","Coal Mining","medium","B1XQXC4","AUS","Australia","AUS","Australia","","","false","true","published"
"1239","Woodside Petroleum","AU000000WPL2","Oil & Gas","large","6979728","AUS","Australia","AUS","Australia","","","true","true","published"
"1240","Woolworths","AU000000WOW2","Services","large","6981239","AUS","Australia","AUS","Australia","","","true","true","published"
"1242","Yanzhou Coal Mining","CNE1000004Q8","Coal Mining","large","6109893","CHN","China","CHN","China","","","false","true","published"
