"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L3|Does the company have a process to manage climate-related risks?","Q12L3|Does the company disclose Scope 3 use of product emissions?","Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?","Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?","Q16L4|Does the company undertake climate scenario planning?","Q17L4|Does the company have an internal price of carbon?"
,"2","1006","Ferrari","26/10/2017","2018-11","1",,"Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
,"2","1002","Brilliance","26/10/2017","2018-11","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"2","1197","Shandong Chenming","15/09/2017","2018-11","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1187","Oji Holdings","12/01/2018","2018-11","1",,"Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1183","Nippon Paper Industries","05/01/2018","2018-11","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Not applicable","No","Yes","No","No","No"
,"2","1178","Nine Dragons Paper Industries","05/02/2018","2018-11","0",,"No","No","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1168","Lee & Man Paper Manufacturing","07/12/2017","2018-11","0",,"No","No","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1144","Hokuetsu","05/06/2018","2018-11","1",,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1022","China National Building Materials","05/01/2018","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1092","Bluescope Steel","05/05/2018","2018-09","1",,"Yes","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Not applicable","No","Yes","No","No","No"
,"2","1106","JFE Holdings","24/05/2018","2018-09","1",,"Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Not applicable","No","No","No","No","No"
,"2","1112","Kobe Steel","04/04/2018","2018-09","1",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1007","Nippon Steel","28/03/2018","2018-09","1",,"Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Not applicable","Yes","No","No","No","No"
,"2","1134","Nisshin Steel","08/03/2018","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1209","Tenaris","22/12/2017","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1230","Voestalpine","05/05/2018","2018-09","2",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","Not applicable","No","Yes","No","No","No"
,"2","1040","Adelaide Brighton","18/10/2017","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","Yes","No","No","No"
,"2","1265","Anhui Conch Cement","15/09/2017","2018-09","0",,"No","No","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1115","Boral","19/04/2018","2018-09","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Not applicable","No","No","No","No","No"
,"2","1024","China Resources Cement Holdings","15/09/2017","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1198","Sumitomo Osaka Cement","05/02/2018","2018-09","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1202","Taiheiyo Cement","05/05/2018","2018-09","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Not applicable","Yes","No","No","No","No"
,"2","1239","Woodside Petroleum","14/09/2017","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No"
,"2","1154","Petrochina","17/12/2017","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
,"2","1145","OMV","08/05/2018","2018-07","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
,"2","1108","Eneos (Oil & Gas)","15/02/2018","2018-07","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","No"
,"2","1194","Equinor","04/05/2018","2018-07","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
,"2","1065","Eni","13/10/2017","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
,"2","1057","Ecopetrol","04/05/2018","2018-07","3",,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No"
,"2","1031","CNOOC","28/09/2017","2018-07","2",,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
,"2","1023","China Petroleum & Chemical","04/05/2018","2018-07","2",,"Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No"
,"2","1242","Yanzhou Coal Mining","04/05/2018","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"2","1238","Whitehaven Coal","04/05/2018","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
,"2","1360","South32 (Coal Mining)","04/05/2018","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
,"2","1358","Rio Tinto (Diversified mining)","06/11/2017","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
,"2","1105","Jastrzebska Spolka Weglowa","20/09/2017","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"2","1103","Inner Mongolia Yitai Coal","15/04/2018","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"2","1025","China Shenhua Energy","08/05/2018","2018-07","1",,"Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
,"2","1147","Orsted","16/04/2018","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","No"
,"2","1146","Origin Energy","04/05/2018","2018-07","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Not applicable","No","Yes","Yes","Yes","Yes"
,"2","1063","Enel","31/01/2018","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","No","Yes","Yes"
,"2","1027","Chubu Electric Power","03/04/2018","2018-07","1",,"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","Not applicable","No","No","No","No","No"
,"2","1189","South32 (Aluminium)","04/05/2018","2018-07","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","No","Yes","No"
,"2","1294","AGL Energy","04/05/2018","2018-07","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes"
