id,Name,ISIN,Sector,market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status,SEDOL,historical_comments
1024,China Resources Cement Holdings,KYG2113L1068,Cement,Large,CHN,CHN,,published,B41XC98,
1312,China Resources Power,HK0836012952,Electricity Utilities,Large,CHN,CHN,,published,6711566,
1025,China Shenhua Energy,CNE1000002R0,Coal Mining,Large,CHN,CHN,TRUE,published,B09N7M0,
1270,China Southern,CNE1000002T6,Airlines,Large,CHN,CHN,,published,6013693,
1132,China Steel,TW0002002003,Steel,Large,TWN,TWN,TRUE,published,6190950,
1288,China Zhongwang,"KYG215AT1023, JP3700200003",Aluminium,Medium,CHN,CHN,,published,B3VZ220,
1027,Chubu Electric Power,JP3526600006,Electricity Utilities,Large,JPN,JPN,,published,6195609,
1311,Chugoku,JP3522200009,Electricity Utilities,Medium,JPN,JPN,,published,6195900,
1309,CK Infrastructure,BMG2178K1009,Electricity Utilities,Large,HKG,HKG,,published,BYVS6J1,
1028,CLP,HK0002007356,Electricity Utilities,Large,HKG,HKG,,published,6097017,
1124,CMPC,CL0000001314,Paper,Large,CHL,CHL,,published,2196015,
1030,CMS Energy,US1258961002,Electricity Utilities,Medium,USA,USA,,published,2219224,
1031,CNOOC,HK0883013259,Oil & Gas,Large,CHN,CHN,TRUE,published,B00G0S5,
1032,Coal India,INE522F01014,Coal Mining,Large,IND,IND,TRUE,published,B4Z9XF5,
1228,Coca-Cola,US1912161007,Consumer Goods,Large,USA,USA,TRUE,published,2206657,
1212,Colgate-Palmolive,US1941621039,Consumer Goods,Large,USA,USA,TRUE,published,2209106,
1035,Companhia Siderurgica Nacional,BRCSNAACNOR6,Steel,Medium,BRA,BRA,,published,,
1038,Con Edison,US2091151041,Electricity Utilities,Large,USA,USA,,published,2216850,
1036,Concho Resources,US20605P1012,Oil & Gas,Medium,USA,USA,,published,B1YWRK7,
1037,ConocoPhillips,US20825C1045,Oil & Gas,Large,USA,USA,TRUE,published,2685717,
1039,Consol Energy,"US20854L1089, US20854P1093",Coal Mining,Small,USA,USA,,published,BF4L070,
1159,CRH,"IE0001827041, US12626K2033",Cement,Large,GBR,GBR,TRUE,published,182704,
1019,Cummins,US2310211063,Other Industrials,Large,USA,USA,TRUE,published,2240202,
1014,Daikin Industries,JP3481800005,Other industrials,Large,JPN,JPN,TRUE,published,6250724,
1005,Daimler,DE0007100000,Autos,Large,DEU,DEU,TRUE,published,5529027,
1126,Daio Paper,JP3440400004,Paper,Small,JPN,JPN,,published,6870898,
1045,Dangote Cement,NGDANGCEM008,Cement,Large,NGA,NGA,TRUE,published,B4TFNR1,
1217,Danone,FR0000120644,Consumer Goods,Large,FRA,FRA,TRUE,published,B1Y9TB3,
1110,Delta Air Lines,US2473617023,Airlines,Large,USA,USA,TRUE,published,B1W9D46,
1048,Devon Energy,US25179M1036,Oil & Gas,Medium,USA,USA,TRUE,published,2480677,
1049,Diamondback Energy,US25278X1090,Oil & Gas,Medium,USA,USA,,published,B7Y8YR3,
1050,DMCI Holdings,PHY2088F1004,Coal Mining,Medium,PHL ,PHL ,,published,6272483,
1051,Dominion Energy,US25746U1097,Electricity Utilities,Large,USA,USA,TRUE,published,2542049,Dominion Resources
1130,Domtar,US2575592033,Paper,Small,USA,USA,,published,B1T84Z4,
1213,DowDuPont,US2605571031,Other Basic Materials,Large,USA,USA,TRUE,published,BHXCF84,The Dow Chemical Company
1053,DTE Energy,US2333311072,Electricity Utilities,Medium,USA,USA,,published,2280220,
1054,Duke Energy,US26441C2044,Electricity Utilities,Large,USA,USA,TRUE,published,B7VD3F2,
1055,E.ON,DE000ENAG999,Electricity Utilities,Large,DEU,DEU,TRUE,published,4942904,
1056,Eagle Materials,US26969P1084,Cement,Small,USA,USA,,published,2191399,
1272,Easyjet,GB00B7KR2P84,Airlines,Medium,GBR,GBR,,published,B7KR2P8,
1057,Ecopetrol,COC04PA00016,Oil & Gas,Large,COL,COL,TRUE,published,B2473N4,
1059,EDF,FR0010242511,Electricity Utilities,Large,FRA,FRA,TRUE,published,B0NJJ17,
1058,Edison International,US2810201077,Electricity Utilities,Medium,USA,USA,,published,2829515,
1310,Electric Power Development,JP3551200003,Electricity Utilities,Large,JPN,JPN,,published,B02Q328,
1218,Enbridge,CA29250N1050,Oil & Gas Distribution,Large,CAN,CAN,TRUE,published,2466149,
1061,Encana,CA2925051047,Oil & Gas,Medium,CAN,CAN,,published,2793193,
1131,Ence Energia y Celulosa,ES0130625512,Paper,Small,ESP,ESP,,published,B1W7BK2,
1303,Endesa,ES0130670112,Electricity Utilities,Large,ESP,ESP,,published,5271782,
1063,Enel,IT0003128367,Electricity Utilities,Large,ITA,ITA,TRUE,published,7144569,
1064,Engie,FR0010208488,Electricity Utilities,Large,FRA,FRA,TRUE,published,B0C2CQ3,
1065,Eni,IT0003132476,Oil & Gas,Large,ITA,ITA,TRUE,published,7145056,
1066,Entergy,US29364G1031,Electricity Utilities,Medium,USA,USA,,published,2317087,
1067,EOG Resources,US26875P1012,Oil & Gas,Large,USA,USA,,published,2318024,
1194,Equinor,NO0010096985,Oil & Gas,Large,NOR,NOR,TRUE,published,7133608,Statoil
1068,Erdemir,TRAEREGL91G3,Steel,Large,TUR,TUR,,published,B03MS97,
1299,Evergy,US30034W1062,Electricity Utilities,Medium,USA,USA,,published,BFMXGR0,
1070,Eversource Energy,US30040W1080,Electricity Utilities,Medium,USA,USA,,published,BVVN4Q8,
1071,Evraz,GB00B71N6K86,Steel,Medium,GBR,GBR,,published,B71N6K8,
1072,Exelon,US30161N1019,Electricity Utilities,Large,USA,USA,TRUE,published,2670519,
1073,Exxaro Resources,ZAE000084992,Coal Mining,Medium,ZAF,ZAF,,published,6418801,
1074,Exxon Mobil,US30231G1022,Oil & Gas,Large,USA,USA,TRUE,published,2326618,
1006,Ferrari,NL0011585146,Autos,Large,ITA,ITA,,published,BD6G507,
1009,Fiat Chrysler,NL0010877643,Autos,Large,ITA,ITA,TRUE,published,BRJFWP3,
1133,Fibria,BRFIBRACNOR9,Paper,Large,BRA,BRA,,published,,
1078,Firstenergy,US3379321074,Electricity Utilities,Medium,USA,USA,TRUE,published,2100920,
1079,Fletcher Building,NZFBUE0001S0,Cement,Medium,NZL,NZL,,published,6341606,
1011,Ford,US3453708600,Autos,Large,USA,USA,TRUE,published,2615468,
1081,Formosa Petrochemical,TW0006505001,Oil & Gas,Large,TWN,TWN,TRUE,published,6718716,
1082,Fortis,CA3495531079,Electricity Utilities,Medium,CAN,CAN,,published,2347200,
1083,Fortum,FI0009007132,Electricity Utilities,Large,FIN,FIN,TRUE,published,5579550,
1113,Naturgy Energy,ES0116870314,Oil & Gas Distribution,Large,ESP,ESP,TRUE,published,5650422,Gas Natural
1141,Gazprom,RU0007661625,Oil & Gas,Large,RUS,RUS,TRUE,published,B59L4L7,
1029,Geely,KYG3777B1032,Autos,Large,CHN,CHN,,published,6531827,
1084,General Electric,US3696041033,Other Industrials,Large,USA,USA,TRUE,published,2380498,
1043,General Motors,US37045V1008,Autos,Large,USA,USA,TRUE,published,B665KZ5,
1088,Gerdau,BRGGBRACNPR8,Steel,Large,BRA,BRA,,published,2645443,
1089,Glencore,JE00B4T3BW64,Coal Mining,Large,GBR,GBR,TRUE,published,B4T3BW6,
1044,Groupe PSA,FR0000121501,Autos,Large,FRA,FRA,TRUE,published,7103526,Peugeot
1091,Grupo Argos,COT09PA00035,Cement,Large,COL,COL,,published,,
1182,HeidelbergCement,DE0006047004,Cement,Large,DEU,DEU,TRUE,published,5120679,
1093,Hess,US42809H1077,Oil & Gas,Medium,USA,USA,,published,2023748,
1096,Hitachi,JP3788600009,Other Industrials,Large,JPN,JPN,TRUE,published,6429104,
1144,Hokuetsu,JP3841800000,Paper,Small,JPN,JPN,,published,6433105,Hokuetsu Kishu
1094,Hon Hai Precision Industry,TW0002317005,Other Industrials,Large,TWN,TWN,TRUE,published,6438564,Foxconn Technology Group
1052,Honda,JP3854600008,Autos,Large,JPN,JPN,TRUE,published,6435145,
1062,Hyundai,"KR7005380001, KR7011760006",Autos,Large,KOR,KOR,,published,6451055,
1099,Hyundai Steel,KR7004020004,Steel,Large,KOR,KOR,,published,6461850,
1274,IAG,ES0177542018,Airlines,Large,GBR,GBR,,published,B5M6XQ7,
1100,Iberdrola,ES0144580Y14,Electricity Utilities,Large,ESP,ESP,TRUE,published,B288C92,
1101,Imperial Oil,CA4530384086,Oil & Gas,Large,CAN,CAN,TRUE,published,2454241,
1273,IndiGo,INE646L01027,Airlines,Large,IND,IND,,published,BYYZ7D0,
1117,Ingersoll-Rand,IE00B6330302,Other Industrials,Large,USA,USA,TRUE,published,B633030,
1103,Inner Mongolia Yitai Coal,CNE000000SK7,Coal Mining,Medium,CHN,CHN,,published,6019011,
1306,Innogy,DE000A2AADD2,Electricity Utilities,Large,DEU,DEU,,published,BDCFZS6,
1150,International Paper,US4601461035,Paper,Medium,USA,USA,TRUE,published,2465254,
1275,Japan Airlines,JP3705200008,Airlines,Large,JPN,JPN,,published,B8BRV46,
1105,Jastrzebska Spolka Weglowa,PLJSW0000015,Coal Mining,Small,POL,POL,,published,B6R2S06,
1276,Jetblue,US4771431016,Airlines,Small,USA,USA,,published,2852760,
1106,JFE Holdings,JP3386030005,Steel,Large,JPN,JPN,,published,6543792,
1107,JSW Steel,INE019A01038,Steel,Large,IND,IND,,published,BZBYJJ7,
1108,JXTG,JP3386450005,Oil & Gas,Large,JPN,JPN,TRUE,published,B627LW9,
1300,Kansai Elec Power,JP3228600007,Electricity Utilities,Large,JPN,JPN,,published,6483489,
1109,KEPCO,KR7015760002,Electricity Utilities,Large,KOR,KOR,TRUE,published,6495730,Korea Electric Power Corp
1075,Kia,KR7000270009,Autos,Large,KOR,KOR,,published,6490928,
1220,Kinder Morgan,US49456B1017,Oil & Gas Distribution,Large,USA,USA,TRUE,published,B3NQ4P8,
1112,Kobe Steel,JP3289800009,Steel,Medium,JPN,JPN,,published,6496023,
1277,Korean Air,KR7003490000,Airlines,Medium,KOR,KOR,,published,6496766,
1307,Kyushu Elec Power,JP3246400000,Electricity Utilities,Medium,JPN,JPN,,published,6499806,
1257,LafargeHolcim,CH0012214059,Cement,Large,CHE,CHE,TRUE,published,7110753,
1278,LATAM,CL0000000423,Airlines,Large,CHL,CHL,,published,2518932,
1168,Lee & Man Paper Manufacturing,KYG5427W1309,Paper,Medium,CHN,CHN,,published,6693772,
1060,Lockheed Martin,US5398301094,Other Industrials,Large,USA,USA,TRUE,published,2522096,
1271,Lufthansa,DE0008232125,Airlines,Medium,DEU,DEU,,published,5287488,
1118,Lukoil,RU0009024277,Oil & Gas,Large,RUS,RUS,TRUE,published,B59SNS8,
1041,LyondellBasell Industries,NL0009434992,Other Basic Materials,Large,USA,USA,TRUE,published,B3SPXZ3,
1120,Marathon Oil,US5658491064,Oil & Gas,Medium,USA,USA,,published,2910970,
1121,Marathon Petroleum,US56585A1025,Oil & Gas,Large,USA,USA,TRUE,published,B3K3L40,
1004,Martin Marietta Materials,US5732841060,Cement,Medium,USA,USA,TRUE,published,2572079,
1076,Mazda,JP3868400007,Autos,Large,JPN,JPN,,published,6900308,
1077,Mitsubishi,JP3899800001,Autos,Large,JPN,JPN,,published,6598446,
1177,Mondi,GB00B1CRLC47,Paper,Medium,GBR,GBR,,published,B1CRLC4,
1127,National Grid,GB00BDR05C01,Electricity Utilities,Large,GBR,GBR,TRUE,published,BDR05C0,
1297,Neste,FI0009013296,Oil & Gas,Large,FIN,FIN,,published,B06YV46,
1102,Nestle,CH0038863350,Consumer Goods,Large,CHE,CHE,TRUE,published,7123870,
1129,NextEra Energy,US65339F1012,Electricity Utilities,Large,USA,USA,TRUE,published,2328915,
1178,Nine Dragons Paper Industries,BMG653181005,Paper,Large,CHN,CHN,,published,B0WC2B8,
1289,Nippon Light Metal,"JP3700200003, NO0005052605",Aluminium,Small,JPN,JPN,,published,B51WP26,
1183,Nippon Paper Industries,JP3721600009,Paper,Medium,JPN,JPN,,published,B8B8PJ2,
1007,Nippon Steel & Sumitomo Metal,JP3381000003,Steel,Large,JPN,JPN,TRUE,published,6642569,
1080,Nissan,JP3672400003,Autos,Large,JPN,JPN,TRUE,published,6642860,
1134,Nisshin Steel,JP3676200003,Steel,Medium,JPN,JPN,,published,B89C2N9,
1135,Noble Energy,US6550441058,Oil & Gas,Medium,USA,USA,,published,2640761,
1139,Nornickel,RU0007288411,Other Basic Materials,Large,RUS,RUS,TRUE,published,B5B1TX2,
1290,Norsk Hydro,"NO0005052605, MYL8869OO009",Aluminium,Medium,NOR,NOR,,published,B11HK39,
1136,NovaTek,RU000A0DKVS5,Oil & Gas,Large,RUS,RUS,,published,B59HPK1,
1137,Novolipetsk Steel,RU0009046452,Steel,Large,RUS,RUS,,published,B59FPC7,
1223,NRG Energy,US6293775085,Electricity Utilities,Medium,USA,USA,TRUE,published,2212922,
1047,NTPC,INE733E01010,Electricity Utilities,Large,IND,IND,TRUE,published,B037HF1,
1140,Nucor,US6703461052,Steel,Medium,USA,USA,,published,2651086,
1142,Occidental Petroleum,US6745991058,Oil & Gas,Large,USA,USA,TRUE,published,2655408,
1143,Oil & Natural Gas,INE213A01029,Oil & Gas,Large,IND,IND,TRUE,published,6139362,
1187,Oji Holdings,JP3174410005,Paper,Medium,JPN,JPN,,published,6657701,
1145,OMV,AT0000743059,Oil & Gas,Large,AUT,AUT,TRUE,published,4651459,
1146,Origin Energy,AU000000ORG5,Electricity Utilities,Large,AUS,AUS,TRUE,published,6214861,
