id,Name,ISIN,Sector,market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status,SEDOL,historical_comments
1305,Vectren,US92240G1013,Electricity Utilities,Small,USA,USA,,published,2572949,
1119,Vedanta,INE205A01025,Other Basic Materials,Large,IND,IND,TRUE,published,6136040,
1233,Vistra Energy,US92840M1027,Electricity Utilities,Medium,USA,USA,TRUE,published,BZ8VJQ8,
1230,Voestalpine,AT0000937503,Steel,Medium,AUT,AUT,,published,4943402,
1098,Volkswagen,"DE0007664005, DE0007664039",Autos,Large,DEU,DEU,TRUE,published,5497102,
1033,Volvo,SE0000115446,Other Industrials,Large,SWE,SWE,TRUE,published,B1QH830,
1236,Walmart,US9311421039,Services,Large,USA,USA,TRUE,published,2936921,
1234,Washington H. Soul Pattinson,AU000000SOL3,Coal Mining,Medium,AUS,AUS,,published,6821807,
1235,WEC Energy Group,US92939U1060,Electricity Utilities,Large,USA,USA,TRUE,published,BYY8XK8,
1114,Wesfarmers,AU000000WES1,Services,Large,AUS,AUS,TRUE,published,6948836,
1237,Weyerhaeuser,US9621661043,Services,Medium,USA,USA,TRUE,published,2958936,
1238,Whitehaven Coal,AU000000WHC8,Coal Mining,Medium,AUS,AUS,,published,B1XQXC4,
1283,Wizz Air,"JE00BN574F90, US03965L1008",Airlines,Small,GBR,GBR,,published,BN574F9,
1239,Woodside Petroleum,AU000000WPL2,Oil & Gas,Large,AUS,AUS,TRUE,published,6979728,
1240,Woolworths,AU000000WOW2,Services,Large,AUS,AUS,TRUE,published,6981239,
1241,XCEL Energy,US98389B1008,Electricity Utilities,Large,USA,USA,TRUE,published,2614807,
1242,Yanzhou Coal Mining,CNE1000004Q8,Coal Mining,Large,CHN,CHN,,published,6109893,
1243,YFY,TW0001907004,Paper,Small,TWN,TWN,,published,6988616,
1314,MOL,JP3362700001,Shipping,Medium,JPN,JPN,,published,6597584,
1315,NYK Line,JP3753000003,Shipping,Medium,JPN,JPN,,published,6643960,
1316,MISC,MYL3816OO005,Shipping,Large,MYS,MYS,,published,6557997,
1317,Nakilat,QA000A0KD6L1,Shipping,Medium,QAT,QAT,,published,B0MLBC9,
1318,COSCO Shipping Lines ,CNE1000002J7,Shipping,Large,CHN,CHN,,published,B0B8Z18,
1319,K Line,JP3223800008,Shipping,Medium,JPN,JPN,,published,6484686,
1320,Evergreen Marine,TW0002603008,Shipping,Medium,TWN,TWN,,published,6324500,
1321,Hapag-Lloyd,DE000HLAG475,Shipping,Medium,DEU,DEU,,published,BYZTSW7,
1322,U-Ming,TW0002606001,Shipping,Medium,TWN,TWN,,published,6911377,
1323,Wan Hai,TW0002615002,Shipping,Medium,TWN,TWN,,published,6932334,
1325,Great Eastern Shipping ,INE017A01032,Shipping,Small,IND,IND,,published,B1GKL41,
1326,COSCO Shipping Energy,CNE1000002S8,Shipping,Medium,CHN,CHN,,published,6782045,
1324,Azul,BRAZULACNPR4,Airlines,Medium,BRA,BRA,,published,BD97PR4,
1358,Rio Tinto (Coal Mining),AU000000RIO1,Coal mining,Large,AUS,AUS,TRUE,published,6220103,
1360,South32 (Aluminium),AU000000S320,Aluminium,Large,AUS,AUS,TRUE,published,BWSW5D9,
