Id,Name,ISIN,Sector,Market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status
,Delta Air Lines,US2473617023,Airlines,large,USA,USA,false,published
,Devon Energy,US25179M1036,Oil & gas,medium,USA,USA,false,published
,Diamondback Energy,US25278X1090,Oil & gas,medium,USA,USA,false,published
,Dominion Energy,US25746U1097,Electricity Utilities,large,USA,USA,false,published
,Domtar,US2575592033,Paper,small,USA,USA,false,published
,Duke Energy,US26441C2044,Electricity Utilities,large,USA,USA,false,published
,E.ON,DE000ENAG999,Electricity Utilities,large,DEU,DEU,false,published
,EDF,FR0010242511,Electricity Utilities,large,FRA,FRA,false,published
,EOG Resources,US26875P1012,Oil & gas,large,USA,USA,false,published
,Eagle Materials,US26969P1084,Cement,small,USA,USA,false,published
,Easyjet,GB00B7KR2P84,Airlines,medium,GBR,GBR,false,published
,Ecopetrol,COC04PA00016,Oil & gas,large,COL,COL,false,published
,Edison International,US2810201077,Electricity Utilities,large,USA,USA,false,published
,Enbridge,CA29250N1050,Oil & Gas Distribution,large,CAN,CAN,false,published
,Encana,CA2925051047,Oil & gas,medium,CAN,CAN,false,published
,Ence Energia y Celulosa,ES0130625512,Paper,small,ESP,ESP,false,published
,Enel,IT0003128367,Electricity Utilities,large,ITA,ITA,false,published
,Engie,FR0010208488,Electricity Utilities,large,FRA,FRA,false,published
,Eni,IT0003132476,Oil & gas,large,ITA,ITA,false,published
,Entergy,US29364G1031,Electricity Utilities,medium,USA,USA,false,published
,Equinor,NO0010096985,Oil & gas,large,NOR,NOR,false,published
,Erdemir,TRAEREGL91G3,Steel,large,TUR,TUR,false,published
,Eversource Energy,US30040W1080,Electricity Utilities,medium,USA,USA,false,published
,Evraz,GB00B71N6K86,Steel,medium,GBR,GBR,false,published
,Exelon,US30161N1019,Electricity Utilities,large,USA,USA,false,published
,Exxaro Resources,ZAE000084992,Coal Mining,medium,ZAF,ZAF,false,published
,Exxon Mobil,US30231G1022,Oil & gas,large,USA,USA,false,published
,Ferrari,NL0011585146,Autos,large,ITA,ITA,false,published
,Fiat Chrysler,NL0010877643,Autos,large,ITA,ITA,false,published
,Fibria,BRFIBRACNOR9,Paper,large,BRA,BRA,false,published
,Firstenergy,US3379321074,Electricity Utilities,medium,USA,USA,false,published
,Fletcher Building,NZFBUE0001S0,Cement,large,NZL,NZL,false,published
,Ford,US3453708600,Autos,large,USA,USA,false,published
,Formosa Petrochemical,TW0006505001,Oil & gas,large,TWN,TWN,false,published
,Fortis,CA3495531079,Electricity Utilities,medium,CAN,CAN,false,published
,Fortum,FI0009007132,Electricity Utilities,large,FIN,FIN,false,published
,Gas Natural,ES0116870314,Oil & Gas Distribution,large,ESP,ESP,false,published
,Gazprom,RU0007661625,Oil & gas,large,RUS,RUS,false,published
,Geely,KYG3777B1032,Autos,large,CHN,CHN,false,published
,General Electric,US3696041033,Other Industrials,large,USA,USA,false,published
,General Motors,US37045V1008,Autos,large,USA,USA,false,published
,Gerdau,BRGGBRACNPR8,Steel,large,BRA,BRA,false,published
,Glencore,JE00B4T3BW64,Coal Mining,large,GBR,GBR,false,published
,Groupe PSA,FR0000121501,Autos,large,FRA,FRA,false,published
,Grupo Argos,COT09PA00035,Cement,large,COL,COL,false,published
,HeidelbergCement,DE0006047004,Cement,large,DEU,DEU,false,published
,Hess,US42809H1077,Oil & gas,medium,USA,USA,false,published
,Hitachi,JP3788600009,Other Industrials,large,JPN,JPN,false,published
,Hokuetsu,JP3841800000,Paper,small,JPN,JPN,false,published
