id,methodology_version,company_id,Company,Assessment date,Publication date,Level,Internal Notes,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets? ,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy? ,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions? ,Q8L3|Does the company report on Scope 3 emissions? ,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change? ,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions? ,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company have an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
,3,1064,Engie,2019-03-22,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
,3,1066,Entergy,2018-08-24,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
,3,1299,Evergy,2019-02-22,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
,3,1070,Eversource Energy,2018-10-31,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No,No
,3,1072,Exelon,2019-02-08,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
,3,1078,Firstenergy,2019-02-19,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
,3,1082,Fortis,2018-09-06,2019-9,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Not applicable,Yes,No,Yes,No,No,No
,3,1083,Fortum,2019-02-04,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
,3,1100,Iberdrola,2019-02-23,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
,3,1306,Innogy,2018-10-30,2019-9,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Not applicable,No,No,Yes,No,No,No
,3,1300,Kansai Elec Power,2018-06-28,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
,3,1109,KEPCO,2019-03-25,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
,3,1307,Kyushu Elec Power,2019-04-12,2019-9,1,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
,3,1127,National Grid,2018-06-04,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1129,NextEra Energy,2019-02-15,2019-9,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,Yes,No,No,No,No,No
,3,1223,NRG Energy,2018-10-01,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
,3,1047,NTPC,2018-09-21,2019-9,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
,3,1146,Origin Energy,2018-09-14,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
,3,1147,Orsted,2019-01-31,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
,3,1155,PG&E,2019-02-28,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
,3,1313,PGE,2019-03-31,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
,3,1157,Pinnacle West Capital,2019-02-22,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1160,Power Assets,2018-08-24,2019-9,1,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Not applicable,No,No,No,No,No,No
,3,1161,PPL,2018-08-24,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
,3,1164,Public Service Enterprise Group,2019-02-28,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
,3,1166,Red Electrica,2019-02-20,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
,3,1174,RWE,2019-03-08,2019-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1181,Sempra Energy,2019-02-26,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,No
,3,1190,Southern Company,2019-02-20,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1193,SSE,2018-06-15,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
,3,1208,Tenaga Nasional,2019-04-12,2019-9,1,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Not applicable,No,No,No,No,No,No
,3,1301,TEPCO,2018-06-28,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
,3,1302,Terna,2019-03-29,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1304,Tohoku Elec Power,2018-06-27,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes,No
,3,1308,Uniper,2018-10-31,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No
,3,1305,Vectren,2018-09-21,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
,3,1233,Vistra Energy,2019-02-28,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
,3,1235,WEC Energy Group,2019-02-26,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,Yes,No,No
