"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"94","Legislation","9436","Passed/Approved","passed","","12/05/2020",""
"93","Legislation","9491","Passed/Approved","Strategy released","","08/07/2020",""
"92","Target","8874","Set","Set","","08/07/2020",""
"91","Legislation","9462","Passed/Approved","Document approved","","30/07/2020",""
"90","Legislation","9492","Passed/Approved","Document published","","11/12/2018",""
"89","Legislation","9493","Passed/Approved","Released","","18/12/2019",""
"88","Legislation","9494","Passed/Approved","approved","","18/12/2019",""
"87","Legislation","9495","Passed/Approved","Approved","","24/12/2019",""
"86","Legislation","9497","Passed/Approved","approved","","01/01/2020",""
"85","Legislation","9499","Passed/Approved","Published","","01/12/2019",""
"84","Legislation","9506","Passed/Approved","Approved","","01/12/2019",""
"83","Legislation","9512","Passed/Approved","Approved","","25/12/2019",""
"82","Legislation","9513","Passed/Approved","Approved","","01/12/2019",""
"81","Legislation","9519","Passed/Approved","Published","","18/06/2020",""
"80","Legislation","9520","Passed/Approved","Published","","27/11/2019",""
"79","Legislation","9520","Amended","Amended","Amended by Regulation (EU) 2020/852","18/06/2020",""
"78","Legislation","9522","Passed/Approved","Approved","","19/09/2019",""
"77","Legislation","9522","Entered Into Force","Entry into force","","01/01/2020",""
"76","Target","8875","Set","Set","","01/01/2020",""
"75","Target","8876","Set","Set","","01/01/2020",""
"74","Target","8877","Set","Set","","01/01/2020",""
"73","Target","8878","Set","Set","","01/01/2020",""
"72","Target","8879","Set","Set","","01/02/2020",""
"71","Target","8880","Set","Set","","01/01/2020",""
"70","Target","8887","Set","Set","","01/01/2020",""
"69","Target","8888","Set","Set","","01/01/2020",""
"68","Target","8889","Set","Set","","01/01/2020",""
"67","Target","8890","Set","Set","","01/01/2020",""
"66","Target","8891","Set","Set","","01/01/2020",""
"65","Target","8892","Set","Set","","01/01/2020",""
"64","Target","8893","Set","Set","","01/01/2020",""
"63","Target","8894","Set","Set","","01/01/2020",""
"62","Target","8896","Set","Set","","01/01/2020",""
"61","Target","8918","Set","Set","","01/01/2020",""
"60","Target","8919","Set","Set","","01/01/2020",""
"59","Target","8920","Set","Set","","01/01/2020",""
"58","Target","8921","Set","Set","","01/01/2020",""
"57","Target","8936","Set","Set","","01/01/2020",""
"56","Target","8937","Set","Set","","01/01/2020",""
"55","Target","8938","Set","Set","","01/01/2020",""
"54","Target","8939","Set","Set","","01/01/2020",""
"53","Target","8940","Set","Set","","01/01/2020",""
"52","Target","8941","Set","Set","","01/01/2020",""
"51","Target","8942","Set","Set","","01/01/2020",""
