"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"3021","link to document in all EU languages","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.010.01.0017.01.ENG&toc=OJ:L:2018:010:TOC","English","03/02/2020","8568","Legislation"
"3020","link to document in all EU languages","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32009D0300","English","03/02/2020","8568","Legislation"
"3019","full text (pdf)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/02/labelling-office-EU-CELEX3A32008R01063AEN3ATXT.pdf","English","03/02/2020","8569","Legislation"
"3018","link to pdf in all EU languages","http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1516634095318&uri=CELEX:32008R0106","English","03/02/2020","8569","Legislation"
"3017","full text (pdf)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/02/living-well-planet-EU-CELEX3A32013D13863AEN3ATXT.pdf","English","03/02/2020","8570","Legislation"
"3016","link to pdf in all EU languages","http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1516647740078&uri=CELEX:32013D1386","English","03/02/2020","8570","Legislation"
"3015","full text (pdf)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/02/EU-life-CELEX3A32013R12933AEN3ATXT.pdf","English","03/02/2020","8571","Legislation"
"3014","Link to pdf in all European languages","https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1516647740078&uri=CELEX:32013R1293","English","03/02/2020","8571","Legislation"
"3013","full text","http://prawo.sejm.gov.pl/isap.nsf/DocDetails.xsp?id=WDU20160000961","Polish","03/02/2020","8594","Legislation"
"3012","full text (pdf)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2018/03/D2016000096101.pdf","Polish","03/02/2020","8594","Legislation"
"2997","Full text (PDF)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Dec_308_2016.pdf","Spanish","02/02/2020","9090","Legislation"
"2996","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2006/20061127_2006-152-LGERA-258-Australia_decision.pdf","English","31/01/2020","7007","Litigation"
"2995","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080918_2008-FCA-1428_opinion-1.pdf","English","31/01/2020","7010","Litigation"
"2994","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080328_2008-167-FCR-463_opinion-1.pdf","English","31/01/2020","7015","Litigation"
"2993","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080502_2008-NSWSC-244-Australia_opinion.pdf","English","31/01/2020","7025","Litigation"
"2992","Appellate decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2009/20091119_2009-VCAT-1022-2009-VCAT-2414-Australia_decision.pdf","English","31/01/2020","7044","Litigation"
"2991","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070727_2607_decision.pdf","English","31/01/2020","7051","Litigation"
"2990","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2004/20040311_2004-FCA-211_decision-1.pdf","English","31/01/2020","7053","Litigation"
"2989","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080516_2008-FCA-670-_decision.pdf","English","31/01/2020","7074","Litigation"
"2988","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100421_2010-VCAT-480_decision-1.pdf","English","31/01/2020","7075","Litigation"
"2986","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2005/20050303_2006-C-10705_judgment.pdf","English","31/01/2020","7110","Litigation"
"2985","Order","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070430_Case-T-38704_order-1.pdf","English","31/01/2020","7114","Litigation"
"2984","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20071107_2007-Case-T-37404_judgment.pdf","English","31/01/2020","7117","Litigation"
"2973","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20101210_2010-VCAT-1975_decision-1.pdf","English","31/01/2020","7264","Litigation"
"2971","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100302_Case-T-1604_decision.pdf","English","31/01/2020","7267","Litigation"
"2970","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2005/20051123_2005-Case-T-17805_judgment.pdf","English","31/01/2020","7269","Litigation"
